Id,LotFrontage,MSZoning,YearBuilt,SaleCondition,SalePrice,Label
1,65.0,RL,2003,Normal,208500,Y
2,80.0,RL,1976,Normal,181500,Y
3,68.0,RL,2001,Normal,223500,Y
4,60.0,RL,1915,Abnorml,140000,Y
5,84.0,RL,2000,Normal,250000,Y
6,85.0,RL,1993,Normal,143000,Y
7,75.0,RL,2004,Normal,307000,Y
8,,RL,1973,Normal,200000,Y
9,51.0,RM,1931,Abnorml,129900,Y
10,50.0,RL,1939,Normal,118000,Y
11,70.0,RL,1965,Normal,129500,Y
12,85.0,RL,2005,Partial,345000,Y
13,,RL,1962,Normal,144000,Y
14,91.0,RL,2006,Partial,279500,Y
15,,RL,1960,Normal,157000,Y
16,51.0,RM,1929,Normal,132000,Y
17,,RL,1970,Normal,149000,Y
18,72.0,RL,1967,Normal,90000,Y
19,66.0,RL,2004,Normal,159000,Y
20,70.0,RL,1958,Abnorml,139000,Y
21,101.0,RL,2005,Partial,325300,Y
22,57.0,RM,1930,Normal,139400,Y
23,75.0,RL,2002,Normal,230000,Y
24,44.0,RM,1976,Normal,129900,Y
25,,RL,1968,Normal,154000,Y
26,110.0,RL,2007,Normal,256300,Y
27,60.0,RL,1951,Normal,134800,Y
28,98.0,RL,2007,Normal,306000,Y
29,47.0,RL,1957,Normal,207500,Y
30,60.0,RM,1927,Normal,68500,Y
31,50.0,C (all),1920,Normal,40000,Y
32,,RL,1966,Normal,149350,Y
33,85.0,RL,2007,Normal,179900,Y
34,70.0,RL,1959,Normal,165500,Y
35,60.0,RL,2005,Normal,277500,Y
36,108.0,RL,2004,Normal,309000,Y
37,112.0,RL,1994,Normal,145000,Y
38,74.0,RL,1954,Normal,153000,Y
39,68.0,RL,1953,Abnorml,109000,Y
40,65.0,RL,1955,AdjLand,82000,Y
41,84.0,RL,1965,Abnorml,160000,Y
42,115.0,RL,1959,Normal,170000,Y
43,,RL,1983,Normal,144000,Y
44,,RL,1975,Normal,130250,Y
45,70.0,RL,1959,Normal,141000,Y
46,61.0,RL,2005,Normal,319900,Y
47,48.0,RL,2003,Abnorml,239686,Y
48,84.0,FV,2006,Normal,249700,Y
49,33.0,RM,1920,Partial,113000,Y
50,66.0,RL,1966,Normal,127000,Y
51,,RL,1997,Normal,177000,Y
52,52.0,RM,1934,Normal,114500,Y
53,110.0,RM,1963,Normal,110000,Y
54,68.0,RL,1981,Normal,385000,Y
55,60.0,RL,1955,Normal,130000,Y
56,100.0,RL,1964,Normal,180500,Y
57,24.0,FV,1999,Abnorml,172500,Y
58,89.0,RL,2004,Normal,196500,Y
59,66.0,RL,2006,Partial,438780,Y
60,60.0,RL,1972,Normal,124900,Y
61,63.0,RL,2004,Partial,158000,Y
62,60.0,RM,1920,Normal,101000,Y
63,44.0,RL,2006,Normal,202500,Y
64,50.0,RM,1921,Normal,140000,Y
65,,RL,1997,Normal,219500,Y
66,76.0,RL,2004,Normal,317000,Y
67,,RL,1970,Normal,180000,Y
68,72.0,RL,2003,Normal,226000,Y
69,47.0,RM,1945,Normal,80000,Y
70,81.0,RL,1953,Normal,225000,Y
71,95.0,RL,1973,Normal,244000,Y
72,69.0,RL,1982,Normal,129500,Y
73,74.0,RL,1998,Normal,185000,Y
74,85.0,RL,1954,Normal,144900,Y
75,60.0,RM,1915,Normal,107400,Y
76,21.0,RM,1973,Normal,91000,Y
77,,RL,1956,Normal,135750,Y
78,50.0,RM,1948,Normal,127000,Y
79,72.0,RL,1968,Normal,136500,Y
80,60.0,RM,1910,Normal,110000,Y
81,100.0,RL,1968,Normal,193500,Y
82,32.0,RM,1998,Normal,153500,Y
83,78.0,RL,2007,Normal,245000,Y
84,80.0,RL,1960,Normal,126500,Y
85,,RL,1995,Normal,168500,Y
86,121.0,RL,1991,Normal,260000,Y
87,122.0,RL,2005,Normal,174000,Y
88,40.0,FV,2009,Partial,164500,Y
89,105.0,C (all),1915,Abnorml,85000,Y
90,60.0,RL,1994,Normal,123600,Y
91,60.0,RL,1950,Normal,109900,Y
92,85.0,RL,1961,Abnorml,98600,Y
93,80.0,RL,1921,Normal,163500,Y
94,60.0,C (all),1910,Normal,133900,Y
95,69.0,RL,1997,Normal,204750,Y
96,,RL,1993,Normal,185000,Y
97,78.0,RL,1999,Normal,214000,Y
98,73.0,RL,1965,Normal,94750,Y
99,85.0,RL,1920,Abnorml,83000,Y
100,77.0,RL,1959,Normal,128950,Y
101,,RL,1977,Normal,205000,Y
102,77.0,RL,1985,Normal,178000,Y
103,64.0,RL,1979,Alloca,118964,Y
104,94.0,RL,2009,Normal,198900,Y
105,,RM,1931,Normal,169500,Y
106,75.0,FV,2003,Normal,250000,Y
107,60.0,RM,1885,Normal,100000,Y
108,50.0,RM,1948,Partial,115000,Y
109,85.0,RM,1919,Normal,115000,Y
110,105.0,RL,1977,Normal,190000,Y
111,75.0,RL,1954,Normal,136900,Y
112,,RL,2000,Normal,180000,Y
113,77.0,RL,2007,Partial,383970,Y
114,,RL,1953,Abnorml,217000,Y
115,61.0,RL,1945,Normal,259500,Y
116,34.0,FV,1999,Normal,176000,Y
117,,RL,1962,Normal,139000,Y
118,74.0,RL,2006,Partial,155000,Y
