Id,TotalBsmtSF,1stFlrSF,2ndFlrSF
1,856,856,854
2,1262,1262,0
3,920,920,866
4,756,961,756
5,1145,1145,1053
6,796,796,566
7,1686,1694,0
8,1107,1107,983
9,952,1022,752
10,991,1077,0
11,1040,1040,0
12,1175,1182,1142
13,912,912,0
14,1494,1494,0
15,1253,1253,0
16,832,854,0
17,1004,1004,0
18,0,1296,0
19,1114,1114,0
20,1029,1339,0
21,1158,1158,1218
22,637,1108,0
23,1777,1795,0
24,1040,1060,0
25,1060,1060,0
26,1566,1600,0
27,900,900,0
28,1704,1704,0
29,1484,1600,0
30,520,520,0
31,649,649,668
32,1228,1228,0
33,1234,1234,0
34,1398,1700,0
35,1561,1561,0
36,1117,1132,1320
37,1097,1097,0
38,1297,1297,0
39,1057,1057,0
40,0,1152,0
41,1088,1324,0
42,1350,1328,0
43,840,884,0
44,938,938,0
45,1150,1150,0
46,1752,1752,0
47,1434,1518,631
48,1656,1656,0
49,736,736,716
50,955,955,0
51,794,794,676
52,816,816,0
53,816,816,0
54,1842,1842,0
55,384,1360,0
56,1425,1425,0
57,970,983,756
58,860,860,860
59,1410,1426,1519
60,780,780,0
61,1158,1158,0
62,530,581,530
63,1370,1370,0
64,576,902,808
65,1057,1057,977
66,1143,1143,1330
67,1947,2207,0
68,1453,1479,0
69,747,747,0
70,1304,1304,983
71,2223,2223,0
72,845,845,0
73,832,885,833
74,1086,1086,0
75,840,840,765
76,462,526,462
77,952,952,0
78,672,1072,213
79,1768,1768,0
80,440,682,548
81,896,1182,960
82,1237,1337,0
83,1563,1563,0
84,1065,1065,0
85,384,804,670
86,1288,1301,1116
87,684,684,876
88,612,612,612
89,1013,1013,0
90,990,990,0
91,0,1040,0
92,1235,1235,0
93,876,964,0
94,1214,1260,1031
95,824,905,881
96,680,680,790
97,1588,1588,0
98,960,960,0
99,458,835,0
100,950,1225,0
101,1610,1610,0
102,741,977,755
103,0,1535,0
104,1226,1226,0
105,1040,1226,592
106,1053,1053,939
107,641,1047,0
108,789,789,0
109,793,997,520
110,1844,1844,0
111,994,1216,639
112,384,774,656
113,1264,1282,1414
114,1809,2259,0
115,1028,1436,884
116,729,729,729
117,1092,1092,0
118,1125,1125,0
119,1673,1699,1523
120,728,728,728
121,938,988,0
122,732,772,351
123,1080,1080,0
124,1199,1199,0
125,1362,1586,0
126,520,520,0
127,1078,958,0
128,672,840,0
129,660,660,688
130,1008,1053,0
131,924,1216,941
132,992,1022,1032
133,1063,1327,0
134,1267,1296,0
135,1461,1721,0
136,1304,1682,0
137,1214,1214,0
138,1907,1959,0
139,1004,1004,848
140,928,928,836
141,864,864,0
142,1734,1734,0
143,910,910,475
144,1490,1501,0
145,1728,1728,0
146,970,970,739
147,715,875,0
148,884,884,1151
149,1080,1080,0
150,896,896,448
151,969,969,0
152,1710,1710,0
153,825,1097,896
154,1602,1252,0
155,1200,1200,0
156,572,572,524
157,0,1040,0
158,774,774,1194
159,991,991,956
160,1392,1392,1070
161,1232,1232,0
162,1572,1572,1096
163,1541,1541,0
164,882,882,0
165,1149,1149,467
166,644,808,547
167,1617,1867,0
168,1582,1610,551
169,840,840,880
170,1686,1707,0
171,720,854,0
172,1080,1656,0
173,1064,1064,703
174,1362,1362,0
175,1606,1651,0
176,1202,2158,0
177,1151,1164,896
178,1052,1252,668
179,2216,2234,0
180,968,968,0
181,756,769,756
182,793,901,901
183,0,1340,0
184,1362,1362,720
185,504,936,316
186,1107,1518,1518
187,1188,1217,0
188,660,808,704
189,1086,1224,0
190,1593,1593,0
191,853,1549,1178
192,725,725,754
193,1431,1431,0
194,970,970,739
195,864,864,0
196,855,855,601
197,1726,1726,0
198,1360,1360,1360
199,755,929,929
200,1713,1713,0
201,1121,1121,0
202,1196,1279,0
203,617,865,445
204,848,848,0
205,720,720,564
206,1424,1442,0
207,1140,1696,0
208,1100,1100,0
209,1157,1180,882
210,1092,1092,0
211,864,864,0
212,1212,1212,0
213,900,932,920
214,990,990,0
215,689,689,703
216,1070,1236,0
217,1436,1436,0
218,686,810,518
219,798,1137,817
220,1248,1248,0
221,1498,1498,0
222,1010,1010,1257
223,713,811,741
224,864,864,0
225,2392,2392,0
226,630,630,672
227,1203,1214,1306
228,483,483,504
229,912,912,0
230,1373,1555,0
231,1194,1194,0
232,1462,1490,1304
233,483,483,504
234,894,894,0
235,860,860,1100
236,483,483,504
237,1414,1414,0
238,996,1014,730
239,1694,1694,0
240,735,798,689
241,1566,1566,0
242,686,866,0
243,540,889,551
244,626,626,591
245,948,1222,888
246,1845,1872,0
247,1020,908,1020
248,1367,1375,0
249,840,840,828
250,1444,1444,700
251,728,1306,0
252,1573,1625,0
253,798,798,842
254,1302,1302,0
255,1314,1314,0
256,975,1005,1286
257,864,864,864
258,1604,1604,0
259,963,963,829
260,0,882,0
261,1362,1382,0
262,1482,1482,1092
263,506,1212,0
264,926,926,0
265,680,764,0
266,1422,1422,0
267,802,802,709
268,720,1052,720
269,740,778,0
270,1143,1113,0
271,1095,1095,844
272,1385,1363,0
273,1152,1164,1106
274,1240,1632,0
275,816,816,0
276,952,952,596
277,1560,1560,0
278,864,864,0
279,2121,2121,0
280,1160,1156,866
281,807,1175,807
282,1262,1262,0
283,1314,1314,0
284,1468,1468,0
285,1575,1575,0
286,625,625,625
287,912,1085,649
288,858,858,0
289,882,900,0
290,698,698,698
291,1079,1079,840
292,780,936,780
293,768,1148,568
294,795,1468,795
295,1416,1644,0
296,1003,1003,0
297,910,910,648
298,975,975,975
299,702,1041,702
300,1092,1152,0
301,1165,1336,0
302,1028,1210,1242
303,1541,1541,0
304,894,894,0
305,1470,1675,1818
306,2000,2000,0
307,700,1122,1121
308,319,1035,371
309,861,861,0
310,1896,1944,0
311,697,697,804
312,972,972,0
313,793,793,325
314,2136,2036,0
315,728,832,809
316,716,716,716
317,845,1153,1200
318,1088,1088,871
319,1347,1372,1274
320,1372,1472,0
321,1249,1249,1347
322,1136,1136,1332
323,1502,1553,1177
324,1162,1163,0
325,710,1898,1080
326,720,803,0
327,1719,1719,0
328,1383,1383,0
329,844,1445,689
330,596,596,596
331,1728,1728,0
332,1056,1056,0
333,3206,1629,0
334,1358,1358,0
335,943,943,695
336,1499,1619,167
337,1922,1922,0
338,1536,1536,0
339,1208,1621,0
340,1215,1215,0
341,967,993,915
342,721,841,0
343,0,1040,0
344,1684,1684,0
345,536,536,576
346,972,972,605
347,958,958,0
348,1478,1478,0
349,764,764,862
350,1848,1848,880
351,1869,1869,0
352,1453,1453,0
353,616,616,495
354,624,720,0
355,940,1192,403
356,1200,1200,0
357,1158,1167,0
358,1142,1142,0
359,1062,1352,0
360,1086,1086,838
361,888,912,0
362,883,988,517
363,0,495,1427
